id,France,United States,Spain,China,Italy,United Kingdom,Germany,Russian Federation,Mexico,Turkey
1995,60033000,43318000,32971000,20034000,31052000,21719000,14847000,10290000,20241000,7083000
1996,62406000,46489000,34027000,22765000,32943000,22936000,15205000,16208000,21395000,7966000
1997,66591000,47767000,39553000,23770000,34692000,23215000,15837000,17463000,19351000,9040000
1998,70109000,46377000,41892000,25073000,34933000,23710000,16511000,16188000,19392000,8960000
1999,73147000,48509000,45440000,27047000,36516000,23341000,17116000,18820000,19043000,6893000
2000,77190000,51238000,46403000,31229000,41181000,23212000,18983000,21169000,20641000,9586000
2001,75202000,46927000,48565000,33167000,39563000,20982000,17861000,21595000,19810000,10783000
2002,77012000,43581000,50331000,36803000,39799000,22307000,17969000,23309000,19667000,12790000
2003,75048000,41218000,50854000,32970000,39604000,22787000,18399000,22521000,18665000,13341000
2004,74433000,46086000,52430000,41761000,37071000,25678000,20137000,22064000,20618000,16826000
2005,74988000,49206000,55914000,46809000,36513000,28039000,21500000,22201000,21915000,20273000
2006,77916000,50977000,58004000,49913000,41058000,30654000,23569000,22486000,21353000,18916000
2007,80853000,56135000,58666000,54720000,43654000,30870000,24421000,22909000,21606000,26122000
2008,79218000,58007000,57192000,53049000,42734000,30142000,24884000,23676000,22931000,29792000
2009,76764000,55103000,52178000,50875000,43239000,28199000,24220000,21339000,22346000,30187000
2010,76647000,60010000,52677000,55664000,43626000,28295000,26875000,22281000,23290000,31364000
2011,80499000,62821000,56177000,57581000,46119000,29306000,28374000,24932000,23403000,34654000
2012,81980000,66657000,57464000,57725000,46360000,29282000,30411000,28177000,23403000,35698000
2013,83634000,69995000,60675000,55686000,47704000,31063000,31545000,30792000,24151000,37795000
2014,83701000,75022000,64939000,55622000,48576000,32613000,32999000,32421000,29346000,39811000
2015,84452000,77510000,68215000,56886000,50732000,34436000,34970000,33729000,32093000,39478000
2016,,,,,,,35555000,,,
